yas,maas,deneyim_yil,departman,sehir,performans_puani,eksik_veri
45,5049,27,Yazilim,Izmir,6.14,62.0
64,8423,26,Finans,Izmir,3.52,37.0
24,17589,19,Yazilim,Ankara,7.93,25.0
61,10158,23,Finans,Bursa,2.68,48.0
25,13248,11,Yazilim,Bursa,3.91,65.0
64,10400,17,İK,Ankara,4.83,
52,12874,2,Pazarlama,Ankara,5.57,
31,18151,27,Yazilim,Ankara,3.18,73.0
34,4154,0,Finans,Ankara,2.03,15.0
53,7499,0,İK,Ankara,6.5,49.0
57,9295,28,Yazilim,Ankara,3.6,88.0
21,15183,18,Yazilim,Izmir,6.23,
19,15874,10,İK,Izmir,2.39,12.0
23,8539,4,Yazilim,Izmir,5.33,59.0
59,12637,11,Pazarlama,Izmir,5.79,37.0
21,18586,2,Yazilim,Ankara,1.47,61.0
46,5557,0,Pazarlama,Bursa,4.03,43.0
35,8592,0,Pazarlama,Istanbul,2.21,70.0
43,19482,7,İK,Ankara,1.57,39.0
61,5200,9,Yazilim,Istanbul,9.91,
51,17172,10,İK,Bursa,3.9,
27,5961,11,Yazilim,Izmir,8.29,46.0
53,17207,28,Yazilim,Bursa,3.29,88.0
31,14969,12,Finans,Ankara,7.13,11.0
48,5869,11,Yazilim,Izmir,7.84,62.0
32,16992,13,İK,Ankara,6.36,77.0
25,8699,1,Pazarlama,Izmir,5.24,98.0
31,6987,28,Yazilim,Istanbul,4.71,25.0
40,16446,18,Finans,Istanbul,4.14,71.0
57,4218,17,İK,Istanbul,9.37,52.0
38,7735,2,Yazilim,Bursa,8.48,4.0
33,14296,22,İK,Ankara,9.69,
62,7555,16,Finans,Bursa,2.12,72.0
35,12146,25,Finans,Istanbul,7.58,20.0
64,11050,7,İK,Ankara,9.45,
41,15757,28,Yazilim,Istanbul,2.63,63.0
43,9893,25,Pazarlama,Bursa,1.6,
42,17373,9,Finans,Bursa,7.67,74.0
62,17565,25,Yazilim,Bursa,6.17,98.0
58,6436,29,Yazilim,Istanbul,8.58,57.0
46,11754,1,Pazarlama,Ankara,2.26,90.0
32,13677,18,Finans,Ankara,8.16,41.0
62,8895,8,Finans,Istanbul,2.81,3.0
18,19609,6,Yazilim,Ankara,2.47,6.0
42,18636,3,Yazilim,Istanbul,2.48,5.0
24,10022,25,Pazarlama,Ankara,8.33,
26,12151,20,Pazarlama,Izmir,6.99,
41,8600,17,Finans,Izmir,5.71,47.0
18,10996,12,İK,Bursa,4.23,87.0
61,12007,10,Finans,Izmir,8.89,49.0
25,15946,28,Yazilim,Izmir,4.53,9.0
41,7642,23,Finans,Izmir,8.35,
28,14312,3,İK,Istanbul,4.95,20.0
34,10679,24,Pazarlama,Izmir,4.39,61.0
25,11208,20,İK,Izmir,5.16,35.0
52,13716,28,İK,Bursa,3.71,50.0
52,6444,24,İK,Izmir,7.73,82.0
50,13757,3,Pazarlama,Izmir,5.52,
22,17434,9,İK,Ankara,3.09,17.0
59,4060,4,İK,Bursa,9.1,88.0
56,6420,8,İK,Bursa,4.46,3.0
58,3301,23,Yazilim,Bursa,5.89,
45,15468,2,İK,Bursa,9.16,
24,19990,16,Pazarlama,Bursa,6.62,13.0
26,3699,2,İK,Bursa,2.05,89.0
25,3190,15,İK,Istanbul,9.46,73.0
29,13492,3,Pazarlama,Izmir,6.65,68.0
51,5975,17,İK,Bursa,4.01,
50,9102,16,Pazarlama,Izmir,2.25,98.0
40,4816,6,İK,Izmir,8.15,11.0
41,3569,23,Pazarlama,Istanbul,6.58,56.0
54,8442,22,İK,Bursa,5.8,67.0
52,4895,29,İK,Ankara,9.05,92.0
61,6863,4,Yazilim,Istanbul,8.1,29.0
57,15913,11,Yazilim,Ankara,2.37,9.0
39,10455,16,İK,Izmir,3.81,67.0
44,7014,22,İK,Izmir,3.24,25.0
52,14093,12,Finans,Istanbul,7.7,98.0
18,6009,22,Pazarlama,Istanbul,1.3,76.0
52,19538,24,Finans,Ankara,6.13,42.0
54,13729,2,Yazilim,Bursa,7.86,9.0
64,4409,8,Yazilim,Ankara,8.89,79.0
31,15249,29,Yazilim,Istanbul,4.08,40.0
20,3784,16,Yazilim,Ankara,8.39,25.0
18,11096,16,İK,Istanbul,2.0,5.0
22,10560,29,Yazilim,Ankara,8.62,
43,15533,19,İK,Istanbul,2.15,59.0
31,10343,15,İK,Istanbul,4.58,98.0
56,10206,24,Yazilim,Istanbul,8.18,88.0
44,8801,21,Yazilim,Bursa,2.35,79.0
26,19921,12,Pazarlama,Ankara,3.06,38.0
32,8986,26,Finans,Ankara,7.5,72.0
32,13647,18,Yazilim,Ankara,7.48,5.0
43,11716,16,Pazarlama,Istanbul,6.77,48.0
59,15323,3,Pazarlama,Ankara,7.25,90.0
30,7780,11,Finans,Ankara,5.88,18.0
49,5368,28,İK,Istanbul,3.27,70.0
56,15039,8,Yazilim,Izmir,4.11,37.0
49,9655,18,Finans,Istanbul,2.63,60.0
21,11173,11,Yazilim,Ankara,9.18,48.0
47,7495,8,Pazarlama,Istanbul,6.25,77.0
54,13893,6,Pazarlama,Izmir,4.61,28.0
40,16403,27,İK,Istanbul,5.16,69.0
56,16121,13,Pazarlama,Ankara,9.53,
62,13966,19,Pazarlama,Izmir,2.38,81.0
32,3853,18,Finans,Bursa,6.28,40.0
60,19958,25,Yazilim,Ankara,5.55,45.0
46,12907,14,Yazilim,Izmir,6.5,96.0
53,7777,15,Finans,Izmir,1.16,62.0
30,18338,20,İK,Bursa,8.85,93.0
49,5491,4,Yazilim,Istanbul,9.39,
24,18328,2,Pazarlama,Istanbul,6.09,67.0
39,17599,11,Yazilim,Ankara,7.27,
45,6051,24,Pazarlama,Bursa,9.3,40.0
19,18979,19,İK,Istanbul,7.37,98.0
59,19388,26,Finans,Bursa,2.37,40.0
62,3876,20,Yazilim,Istanbul,6.19,
23,7142,3,Finans,Izmir,6.46,77.0
45,18202,20,Yazilim,Istanbul,4.82,
45,9966,22,Pazarlama,Bursa,7.63,6.0
61,10079,15,Finans,Izmir,9.41,88.0
61,10987,24,Yazilim,Izmir,9.33,
37,9799,6,Pazarlama,Izmir,5.06,80.0
47,7465,12,Finans,Bursa,2.02,40.0
28,16417,20,Finans,Ankara,9.86,92.0
45,11311,9,Yazilim,Ankara,8.55,
42,17098,25,Yazilim,Ankara,2.12,
56,8177,6,Yazilim,Bursa,9.29,59.0
50,17262,13,Pazarlama,Izmir,8.83,48.0
18,11308,25,Yazilim,Ankara,5.67,
44,8949,4,Finans,Bursa,6.32,13.0
30,4150,2,Finans,Ankara,4.59,45.0
58,4931,22,Yazilim,Istanbul,1.49,
20,12204,28,Yazilim,Ankara,4.02,53.0
56,4081,10,İK,Ankara,8.23,42.0
23,19896,10,Finans,Izmir,1.04,63.0
25,16407,17,Pazarlama,Bursa,4.0,
44,10805,14,İK,Izmir,4.58,
26,8237,11,Yazilim,Izmir,5.84,
54,19943,8,Yazilim,Izmir,9.28,7.0
50,15775,9,Finans,Izmir,4.12,
59,19244,25,Yazilim,Izmir,4.12,
61,16184,11,Pazarlama,Ankara,7.64,58.0
41,6343,16,Finans,Izmir,5.07,
32,16500,28,Yazilim,Izmir,3.02,23.0
49,12662,5,Finans,Bursa,5.07,42.0
49,19964,6,Yazilim,Istanbul,2.27,10.0
41,18125,13,Yazilim,Ankara,2.59,32.0
58,11130,12,Yazilim,Ankara,5.49,53.0
29,4679,7,Pazarlama,Ankara,4.77,30.0
